!using Jia-PRF-PAH transport with added species

HE                 0    10.200     2.576     0.000     0.000     0.000
AR                 0   136.500     3.330     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
N2                 1    97.530     3.621     0.000     1.760     4.000
CO2                1   244.000     3.763     0.000     2.650     2.100
H2O                2   572.400     2.605     1.844     0.000     4.000
CO                 1    98.100     3.650     0.000     1.950     1.800
H2                 1    38.000     2.920     0.000     0.790   280.000
OH                 1    80.000     2.750     0.000     0.000     0.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *
H                  0   145.000     2.050     0.000     0.000     0.000
O                  0    80.000     2.750     0.000     0.000     0.000
CH4                2   141.400     3.746     0.000     2.600    13.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
HCO                2   498.000     3.590     0.000     0.000     0.000
CH2                1   144.000     3.800     0.000     0.000     0.000
CH3                1   144.000     3.800     0.000     0.000     0.000
C2H3               2   265.300     3.721     0.000     0.000     1.000 ! NMM 
C2H4               2   238.400     3.496     0.000     0.000     1.500 ! NMM
C2H5               2   247.500     4.350     0.000     0.000     1.500 ! NMM
C3H4               1   324.800     4.290     0.000     0.000     1.000 ! allene, NMM
PC3H4              1   324.800     4.290     0.000     0.000     1.000 ! allene, NMM
C3H5               2   316.000     4.220     0.000     0.000     1.000
C3H6               2   307.800     4.140     0.000     0.000     1.000 ! NMM
C3H7               2   303.400     4.810     0.000     0.000     1.000 ! NMM
iC4H8              2   344.5       5.089     0.5       0.0       1.0  !  WJP:  ic4h8, TcPc, Poling 4th Ed.
C4H8-1             2   345.7       5.088     0.3       0.0       1.0  !  WJP: c4h8-1, TcPc, Poling 4th Ed.
IC8H18              2   458.5       6.414     0.0       0.0       1.0 !   WJP
C8H17              2   458.5       6.414     0.0       0.0       1.0 !   WJP
C8H16              2   485.6       6.440     0.3       0.0       1.0 !   WJP
C8H17OO            2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
C8H16OOH           2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
OC8H15OOH          2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
OOC8H16OOH         2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
OC8H15O            2   561.0       6.317     1.7       0.0       1.0 !   1C7H15OH WJP
C7H16              2   459.6       6.253     0.0       0.0       1.0 !   TCPC
C7H15              2   459.6       6.253     0.0       0.0       1.0 !   WJP
c7h15-1            2   459.6       6.253     0.0       0.0       1.0 !   WJP
c7h15-2            2   459.6       6.253     0.0       0.0       1.0 !   WJP
C7H14              2   457.8       6.173     0.3       0.0       1.0 !   WJP, 1c7h14, TCPC
C7H15OO            2   561.0       6.317     1.7       0.0       1.0 !   WJP
c7h15o2            2   561.0       6.317     1.7       0.0       1.0 !   
C7H14OOH           2   561.0       6.317     1.7       0.0       1.0 !   WJP
c7h14o2h           2   561.0       6.317     1.7       0.0       1.0 !
OC7H13OOH          2   581.3       6.506     2.0       0.0       1.0 !   1C8H17OH WJP
OOC7H14OOH         2   600.6       7.229     1.8       0.0       1.0 !   NC10H22O WJP
c7h14o2ho2         2   600.6       7.229     1.8       0.0       1.0 !   NC10H22O WJP
OC7H13O            2   561.0       6.317     1.7       0.0       1.0 !   1C7H15OH WJP
N                  0   71.400      3.298     0.000     0.000     0.000 ! *
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
NO                 1    97.530     3.621     0.000     1.760     4.000
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *

!TS
C7H15O2            2   561.0       6.317     1.7       0.0       1.0 !   WJP
O2C7H14OOH         2   600.6       7.229     1.8       0.0       1.0 !   NC10H22O WJP
C7KET              2   581.3       6.506     2.0       0.0       1.0 !   1C8H17OH WJP
c7ket12            2   581.3       6.506     2.0       0.0       1.0 !   1C8H17OH WJP
C5H11CHO           2   498.6       6.009     2.0       0.0       1.0 !  C2H5COC3H7-N WJP
C5H11CO            2   498.6       6.009     2.0       0.0       1.0 !   C2H5COC3H7-N WJP
C5H11              2   440.735     5.041     0.000     0.000     0.000    !FLAMEMASTER
C8H17O2            2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
O2C8H16OOH         2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
C8KET              2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
C6H12              2   485.857     5.328     0.000     0.000     0.000    !FLAMEMASTER
C6H13CO            2   581.3       6.506     2.0       0.0       1.0 !   WJP, C8H17OH-1
C6H13              2   489.224     5.349     0.000     0.000     0.000    !FLAMEMASTER

!Ra
C4H9               2   352.000     5.240     0.000     0.000     1.000 ! NMM
C2H6               2   247.500     4.350     0.000     0.000     1.500 ! NMM
CH2CHO             2   436.000     3.970     0.000     0.000     2.000
CH2CO              2   314.3       4.191     1.4       0.0       2.0  !  wjp:  ketene, TcPc, Poling 4th Ed. Rot no. from Chemkin Tranport database
CH3O2              2   481.800     3.626     0.000     0.000     1.000 ! WJP
CH3O2H             2   481.800     3.626     0.000     0.000     1.000 ! WJP
C2H2               1   265.300     3.721     0.000     0.000     2.500 ! NMM
CH4O2              2   481.800     3.626     0.000     0.000     1.000 ! same as CH3O2H


!Toluene
C6H5CH3   	       2   495.300     5.680     0.375     12.30     1.000 ! 1  Handbook P&C 		
C6H5CH2    	       2   495.300     5.680     0.375     12.30     1.000 ! 2 
C6H5CHO            2   622.400     5.530     3.000     12.30     1.000 ! 9  Handbook P&C 		
C6H5CO             2   622.400     5.530     2.000     12.30     1.000 ! 11
C6H5OH             2   450.000     5.500     1.224     10.32     1.000 ! 22 Handbook P&C
A1                 2   412.300     5.349     0.000     10.32     1.000 ! 18 Handbook P&C 
A1-                2   412.300     5.349     0.300     10.32     1.000 ! 19 
C6H5O   	   2   450.000     5.500     0.700     10.32     1.000 ! 21
C6H5CH2O           2   622.400     5.530     3.000     13.00     1.000 ! 8
C5H5               2   408.000     5.200     0.419     8.000     1.000 ! 29
C5H4O              2   450.000     5.500     3.132     9.000     1.000 ! 32 Handbook P&C 
C5H4OH             2   450.000     5.500     3.132     9.600     1.000 ! 33
C6H6               2   412.300     5.349     0.000     10.32     1.000 ! 18 Handbook P&C 
C4H5               2   329         5.1       0.0       0.0       1.0	

!Methanol
CH2OH              2   417.000     3.690     1.700     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! SVE
CH3O               2   417.000     3.690     1.700     0.000     2.000

CH2CO              2   436.000     3.970     0.000     0.000     2.000
HCCO               2   150.000     2.500     0.000     0.000     1.000 ! *
!PAH
C4H4               2   357.000     5.180     0.000     0.000     1.000 ! JAM
C3H3               2   252.000     4.760     0.000     0.000     1.000 ! JAM
n-C4H5             2   357.000     5.180     0.000     0.000     1.000 ! JAM
C4H3             2   357.000     5.180     0.000     0.000     1.000 ! JAM
A2                 2   630.000     6.180     0.0       0.0       1.0
A2-1               2   630.4       6.18      0.00      0.0       1.000 
A3                 2   772.0       6.96      0.00     38.80      1.000  !  phenanthrene
A3-4               2   772.0       6.96      0.00     38.80      1.000  !
A3-1               2   772.0       6.96      0.00     38.80      1.000  !
A4                 2   834.9       7.24      0.00     45.00      1.000  ! pyrene
A1C2H              2   536.000     5.710     0.0       0.0       1.0                       
A1C2H*             2   536.000     5.710     0.0       0.0       1.0 
C2H                1   209.000     4.100     0.000     0.000     2.500  
P2                 2   676.5       6.31      0.00     20.00      1.000  !  biphe
P2-                2   676.5       6.31      0.00     20.00      1.000  !
A2R5               2   693.000     6.470     0.0       0.0       1.0
A2R5-              2   693.000     6.470     0.0       0.0       1.0
A2C2H2             2   693.1       6.47      0.00     18.00      1.000  !
A4-1               2   776.2     7.407     0.000     0.000     1.000 ! H. Richter, J. Howard, MIT combustion mechanism (2004) web.mit.edu/anish/www/MITcomb.html
A4-2               2   776.2     7.407     0.000     0.000     1.000 ! "
A4-4               2   776.2     7.407     0.000     0.000     1.000 ! "
C9H8               2   630.400     6.180     0.000     0.000     1.000 ! "
C9H7               2   630.400     6.180     0.000     0.000     1.000 ! "
A2CH3              2   693.100     6.470     0.000     0.000     1.000 ! "
A2CH2              2   693.100     6.470     0.000     0.000     1.000 ! " 
A2-2               2   630.4       6.18      0.00      0.0       1.000  
A3-1               2   772.0       6.96      0.00     38.80      1.000  !
C5H4CH2            2   464.800     5.290     0.000     0.000     1.000 ! "
C5H5CH3            2   357.000     5.180     0.000     0.000     1.000 ! R. G. Butler, PhD thesis, http://pachai.net/rgbutler
C(S)               2   676.5       6.31      0.00     20.00      1.000  !
C(PR)              2   676.5       6.31      0.00     20.00      1.000  ! 
A2C2HA             2   693.1       6.47      0.00     18.00      1.000  !
A2C2HB             2   693.1       6.47      0.00     18.00      1.000  !
I-C4H9             2   357.000     5.176     0.000     0.000     1.000






